Timestamp,Label,V_AB,V_AD,V_BC,V_CD,V_AC,V_BD
2026-04-20 00:16:00,AB_2,6.35,11.99,7.53,10.13,12.61,8.54
2026-04-20 00:16:00,AB_2,6.2,11.99,7.58,10.17,12.8,8.55
2026-04-20 00:16:01,AB_2,6.19,11.95,7.55,10.18,12.77,8.54
2026-04-20 00:16:01,AB_2,6.15,11.95,7.56,10.2,12.9,8.55
2026-04-20 00:16:01,AB_2,6.23,12.02,7.54,10.12,12.9,8.51
2026-04-20 00:16:02,AB_2,6.14,11.88,7.55,10.13,12.9,8.5
2026-04-20 00:16:02,AB_2,6.13,12.1,7.5,10.14,13.0,8.59
2026-04-20 00:16:03,AB_2,6.16,12.03,7.71,10.12,13.1,8.51
2026-04-20 00:16:03,AB_2,6.3,11.95,7.48,10.13,13.1,8.49
2026-04-20 00:16:03,AB_2,6.22,11.95,7.49,10.19,12.8,8.48
2026-04-20 00:16:04,AB_2,6.19,11.86,7.56,10.12,12.73,8.61
2026-04-20 00:16:04,AB_2,6.16,11.99,7.59,10.2,12.48,8.47
2026-04-20 00:16:05,AB_2,6.18,12.08,7.55,10.18,12.62,8.56
2026-04-20 00:16:05,AB_2,6.14,12.15,7.58,10.16,13.1,8.53
2026-04-20 00:16:05,AB_2,6.49,12.01,7.58,10.18,13.0,8.58
2026-04-20 00:16:06,AB_2,6.24,12.13,7.58,10.15,13.1,8.55
2026-04-20 00:16:06,AB_2,6.15,12.0,7.59,10.19,12.65,8.52
2026-04-20 00:16:07,AB_2,6.14,12.21,7.54,10.15,13.3,8.51
2026-04-20 00:16:07,AB_2,6.18,12.18,7.69,10.16,13.2,8.61
2026-04-20 00:16:07,AB_2,6.19,12.04,7.59,10.16,13.1,8.55
2026-04-20 00:16:08,AB_2,6.2,12.17,7.52,10.22,13.2,8.53
2026-04-20 00:16:08,AB_2,6.17,12.14,7.59,10.26,13.2,8.47
2026-04-20 00:16:09,AB_2,6.21,12.18,7.52,10.17,13.0,8.61
2026-04-20 00:16:09,AB_2,6.31,12.04,7.63,10.13,12.9,8.57
2026-04-20 00:16:09,AB_2,6.21,12.19,7.47,10.2,13.2,8.54
2026-04-20 00:16:10,AB_2,6.17,12.11,7.58,10.14,13.1,8.46
2026-04-20 00:16:10,AB_2,6.18,12.04,7.49,10.16,13.1,8.51
2026-04-20 00:16:10,AB_2,6.18,11.99,7.46,10.15,12.73,8.53
2026-04-20 00:16:11,AB_2,6.14,11.94,7.51,10.19,12.8,8.55
2026-04-20 00:16:11,AB_2,6.19,11.92,7.56,10.15,12.8,8.55
2026-04-20 00:16:12,AB_2,6.25,12.02,7.51,10.25,12.8,8.48
2026-04-20 00:16:12,AB_2,6.2,11.96,7.64,10.14,13.0,8.52
2026-04-20 00:16:13,AB_2,6.23,11.89,7.53,10.22,13.0,8.5
2026-04-20 00:16:13,AB_2,6.33,11.96,7.49,10.19,13.0,8.47
2026-04-20 00:16:13,AB_2,6.3,11.84,7.54,10.14,12.9,8.39
2026-04-20 00:16:14,AB_2,6.25,12.14,7.55,10.24,12.9,8.57
2026-04-20 00:16:14,AB_2,6.12,12.02,7.61,10.13,12.76,8.55
2026-04-20 00:16:15,AB_2,6.35,12.04,7.69,10.15,13.1,8.55
2026-04-20 00:16:15,AB_2,6.18,12.05,7.57,10.1,12.55,8.56
